Corpus-of-Taylor-Swift,1000
13,1000
love,413
ever,184
away,142
stay,140
around,134
home,121
eyes,114
long,109
girl,96
everything,93
little,89
remember,87
name,86
best,84
once,81
face,80
yet,80
hold,77
head,64
car,60
end,58
before,57
young,56
room,54
else,50
watch,50
meet,49
enough,47
someone,47
nothin',45
'til,45
nothing,44
boy,41
met,40
stop,40
wait,40
lose,39
together,39
body,35
change,35
die,35
anything,33
real,33
different,32
far,31
maybe,31
words,31
kind,30
side,29
since,29
okay,28
both,26
died,26
read,26
eye,25
line,25
party,25
each,24
follow,24
sure,24
stand,23
girls,22
kill,22
boys,21
reason,21
under,21
almost,19
ends,19
stood,18
black,17
sit,17
small,17
speak,17
until,17
watched,17
kid,16
stayed,15
loves,14
pay,14
understand,14
word,14
bought,13
four,13
lead,13
learn,13
though,13
water,12
win,12
American,11
later,11
months,10
least,9
news,9
ago,8
history,8
leads,8
spend,8
someone's,7
