TSW:01:001:V	He said the way my blue eyes shined
TSW:01:002:V	Put those Georgia stars to shame that night
TSW:01:003:V	I said, "That's a lie"
TSW:01:004:V	Just a boy in a Chevy truck
TSW:01:005:V	That had a tendency of gettin' stuck
TSW:01:006:V	On backroads at night
TSW:01:007:C	And I was right there beside him all summer long
TSW:01:008:C	And then the time we woke up to find that summer gone
TSW:01:009:C	But when you think Tim-McGraw
TSW:01:010:C	I hope you think my favorite song
TSW:01:011:C	The one we danced to all night long
TSW:01:012:C	The moon like a spotlight on the lake
TSW:01:013:C	When you think happiness
TSW:01:014:C	I hope you think that little black dress
TSW:01:015:C	Think of my head on your chest
TSW:01:016:C	And my old faded blue jeans
TSW:01:017:C	When you think Tim-McGraw
TSW:01:018:C	I hope you think of me
TSW:01:019:V	September saw a month of tears
TSW:01:020:V	And thankin' god that you weren't here
TSW:01:021:V	To see me like that
TSW:01:022:V	But in a box beneath my bed
TSW:01:023:V	Is a letter that you never read
TSW:01:024:V	From three summers back
TSW:01:025:C	It's hard not to find it all a little bittersweet
TSW:01:026:C	And lookin' back on all of that, it's nice to believe
TSW:01:027:C	When you think Tim-McGraw
TSW:01:028:C	I hope you think my favorite song
TSW:01:029:C	The one we danced to all night long
TSW:01:030:C	The moon like a spotlight on the lake
TSW:01:031:C	When you think happiness
TSW:01:032:C	I hope you think that little black dress
TSW:01:033:C	Think of my head on your chest
TSW:01:034:C	And my old faded blue jeans
TSW:01:035:C	When you think Tim-McGraw
TSW:01:036:C	I hope you think of me
TSW:01:037:B	And I'm back for the first time since then
TSW:01:038:B	I'm standin' on your street
TSW:01:039:B	And there's a letter left on your doorstep
TSW:01:040:B	And the first thing that you'll read
TSW:01:041:C	Is, "When you think Tim-McGraw
TSW:01:042:C	I hope you think my favorite song
TSW:01:043:C	Someday you'll turn your radio on
TSW:01:044:C	I hope it takes you back to that place"
TSW:01:045:C	When you think happiness
TSW:01:046:C	I hope you think that little black dress
TSW:01:047:C	Think of my head on your chest
TSW:01:048:C	And my old faded blue jeans
TSW:01:049:C	When you think Tim-McGraw
TSW:01:050:C	I hope you think of me
TSW:01:051:I	Oh, think of me, mmm
TSW:01:052:I	He said the way my blue eyes shined
TSW:01:053:I	Put those Georgia stars to shame that night
TSW:01:054:I	I said, "That's a lie"
TSW:02:001:V	State the obvious, I didn't get my perfect fantasy
TSW:02:002:V	I realize you love yourself more than you could ever love me
TSW:02:003:V	So go and tell your friends that I'm obsessive and crazy
TSW:02:004:V	That's fine, you won't mind if I say
TSW:02:005:V	By the way
TSW:02:006:C	I hate that stupid old pickup truck you never let me drive
TSW:02:007:C	You're a redneck heartbreak who's really bad at lyin'
TSW:02:008:C	So watch me strike a match on all my wasted time
TSW:02:009:C	As far as I'm concerned, you're just another picture to burn
TSW:02:010:V	There's no time for tears, I'm just sittin' here planning my revenge
TSW:02:011:V	There's nothing stoppin' me from goin' out with all of your best friends
TSW:02:012:V	And if you come around sayin' sorry to me
TSW:02:013:V	My daddy's gonna show ya how sorry you'll be
TSW:02:014:C	'Cause I hate that stupid old pickup truck you never let me drive
TSW:02:015:C	You're a redneck heartbreak who's really bad at lyin'
TSW:02:016:C	So watch me strike a match on all my wasted time
TSW:02:017:C	As far as I'm concerned, you're just another picture to burn
TSW:02:018:B	And if you're missing me, you'd better keep it to yourself
TSW:02:019:B	'Cause coming back around here would be bad for your health
TSW:02:020:C	'Cause I hate that stupid old pickup truck you never let me drive
TSW:02:021:C	You're a redneck heartbreak who's really bad at lyin'
TSW:02:022:C	So watch me strike a match on all my wasted time
TSW:02:023:C	In case you haven't heard
TSW:02:024:C	I really, really hate that stupid old pickup truck you never let me drive
TSW:02:025:C	You're a redneck heartbreak who's really bad at lyin'
TSW:02:026:C	So watch me strike a match on all my wasted time
TSW:02:027:C	As far as I'm concerned, you're just another picture to burn
TSW:02:028:I	Burn, burn, burn, baby, burn
TSW:02:029:I	You're just another picture to burn
TSW:02:030:I	Baby, burn
TSW:03:001:V	Drew looks at me
TSW:03:002:V	I fake a smile so he won't see
TSW:03:003:V	That I want and I'm needing
TSW:03:004:V	Everything that we should be
TSW:03:005:C	I'll bet she's beautiful, that girl he talks about
TSW:03:006:C	And she's got everything that I have to live without
TSW:03:007:V	Drew talks to me
TSW:03:008:V	I laugh 'cause it's just so funny
TSW:03:009:V	That I can't even see
TSW:03:010:V	Anyone when he's with me
TSW:03:011:C	He says he's so in love, he's finally got it right
TSW:03:012:C	I wonder if he knows he's all I think about at night
TSW:03:013:C	He's the reason for the teardrops on my guitar
TSW:03:014:C	The only thing that keeps me wishin' on a wishing star
TSW:03:015:C	He's the song in the car I keep singing, don't know why I do
TSW:03:016:V	Drew walks by me
TSW:03:017:V	Can he tell that I can't breathe?
TSW:03:018:V	And there he goes, so perfectly
TSW:03:019:V	The kind of flawless I wish I could be
TSW:03:020:C	She'd better hold him tight, give him all her love
TSW:03:021:C	Look in those beautiful eyes and know she's lucky 'cause
TSW:03:022:C	He's the reason for the teardrops on my guitar
TSW:03:023:C	The only thing that keeps me wishin' on a wishing star
