"Word"	"PoSes"	"FqBand"	"OECRank"	"CEFRLevel"	"NextWord1"	"NextWord2"	"NextWord3"	"Length"	"Reps"	"Count"	"Verse"	"Bridge"	"Chorus"	"Refrain"	"InOut"	"Albums"	"Songs"	"AlbumOccurrences"
"the"	"Arti"	1	1	"A1"	"way#83"	"night#58"	"last#55"	3	0	3260	1038	394	1635	33	160	13	244	"TSW#134, FER#272, SPN#327, RED#332, NEN#314, ...MANY"
"are"	"Verb"	1	2	"A1"	"never#11"	"is#9"	"forever#5"	3	0	282	73	43	155	2	9	13	95	"TSW#5, FER#10, SPN#36, RED#26, NEN#105, ...MANY"
"be"	"Verb"	1	2	"A1"	"your#34"	"here#20"	"alright#16"	2	2	608	133	79	359	4	33	13	159	"TSW#37, FER#54, SPN#78, RED#86, NEN#54, ...MANY"
"been"	"Verb"	1	2	"A1"	"waitin'#20"	"mine#12"	"would've#8"	4	0	271	49	34	181	0	7	12	85	"TSW#14, FER#37, SPN#29, RED#32, NEN#25, ...MANY"
"is"	"Verb"	1	2	"A1"	"like#14"	"why#12"	"mean#10"	2	0	593	144	73	344	2	30	12	151	"TSW#21, FER#46, SPN#73, RED#112, NEN#68, ...MANY"
"was"	"Verb"	1	2	"A1"	"like#11"	"just#10"	"too#10"	3	0	723	234	72	339	9	69	13	155	"TSW#15, FER#61, SPN#61, RED#122, NEN#67, ...MANY"
"were"	"Verb"	1	2	"A1"	"gonna#28"	"dancin'#19"	"happy#11"	4	0	331	88	42	184	0	17	13	97	"TSW#3, FER#33, SPN#18, RED#52, NEN#29, ...MANY"
"to"	"Infi, Prep"	1	3	"A1"	"know#56"	"your#30"	"New-York#29"	2	0	1564	448	222	803	25	66	13	237	"TSW#83, FER#157, SPN#160, RED#174, NEN#177, ...MANY"
"of"	"Prep"	1	4	"A1"	"your#63"	"us#16"	"those#14"	2	0	908	289	118	448	2	51	13	205	"TSW#40, FER#73, SPN#88, RED#83, NEN#107, ...MANY"
"and"	"Conj, Noun"	1	5	"A1"	"i'm#60"	"now#49"	"i'll#41"	3	0	2398	757	351	1183	19	88	13	241	"TSW#124, FER#305, SPN#265, RED#339, NEN#251, ...MANY"
"a"	"Arti, Infi"	1	6	"A1"	"bad#31"	"girl#25"	"man#25"	1	6	1494	492	182	718	9	93	13	228	"TSW#94, FER#119, SPN#131, RED#171, NEN#118, ...MANY"
"in"	"Prep, Adve, Conj, Adje"	1	7	"A1"	"your#97"	"love#78"	"time#18"	2	0	1369	426	172	697	5	69	13	233	"TSW#39, FER#126, SPN#127, RED#169, NEN#177, ...MANY"
"that"	"Conj, Dete, Adve, Pron"	1	8	"A1"	"it's#33"	"i'm#22"	"was#21"	4	2	790	211	116	427	3	33	13	194	"TSW#64, FER#73, SPN#70, RED#104, NEN#55, ...MANY"
"had"	"Verb"	1	9	"A1"	"been#6"	"two#6"	"our#4"	3	0	209	59	21	117	3	9	12	83	"TSW#5, FER#18, SPN#30, RED#27, NEN#39, ...MANY"
"has"	"Verb"	1	9	"A1"	"changed#8"	"ever#7"	"been#3"	3	0	50	17	9	21	0	3	11	28	"FER#3, SPN#3, RED#12, NEN#5, REP#4, ...MANY"
"have"	"Verb, Noun"	1	9	"A1"	"been#27"	"him#15"	"nice#8"	4	0	253	48	36	154	3	12	12	84	"TSW#10, FER#36, SPN#26, RED#14, NEN#25, ...MANY"
"havin'"	"Verb, Cont"	1	9	"A1"	"coffee#1"	""	""	6	0	3	1	0	2	0	0	2	2	"RED#1, TPD#2"
"having"	"Verb"	1	9	"A1"	"adventures#1"	"far#1"	""	6	0	5	3	0	1	0	1	3	5	"FOL#2, TPD#2, LSG#1"
"i"	"Pron"	1	10	"A1"	"was#233"	"don't#194"	"know#172"	1	269	3920	1014	498	1954	25	337	13	240	"TSW#137, FER#391, SPN#349, RED#452, NEN#490, ...MANY"
"it"	"Pron, Noun"	1	11	"A1"	"was#156"	"off#63"	"gets#21"	2	0	1419	326	136	829	15	113	13	218	"TSW#42, FER#86, SPN#95, RED#157, NEN#211, ...MANY"
"for"	"Prep, Conj"	1	12	"A1"	"your#8"	"confessions#6"	"better#5"	3	0	463	124	78	223	4	34	13	166	"TSW#18, FER#39, SPN#37, RED#33, NEN#41, ...MANY"
"not"	"Conj, Adve"	1	13	"A1"	"like#8"	"even#5"	"sorry#5"	3	0	246	63	36	137	0	10	12	109	"TSW#15, FER#26, SPN#37, RED#19, NEN#11, ...MANY"
"on"	"Prep, Adve, Adje"	1	14	"A1"	"your#65"	"come#28"	"baby#8"	2	4	690	237	83	313	22	35	13	190	"TSW#55, FER#73, SPN#99, RED#61, NEN#60, ...MANY"
"with"	"Prep"	1	15	"A1"	"your#28"	"our#10"	"no#8"	4	0	438	119	77	220	0	22	13	152	"TSW#19, FER#43, SPN#46, RED#39, NEN#39, ...MANY"
"he"	"Pron"	1	16	"A1"	"was#29"	"did#14"	"knows#14"	2	0	241	102	12	103	1	23	11	62	"TSW#20, FER#18, SPN#11, RED#32, NEN#14, ...MANY"
"as"	"Conj, Prep, Adve"	1	17	"A2"	"fast#6"	"long#6"	"sin#5"	2	0	170	66	19	78	4	3	13	76	"TSW#13, FER#6, SPN#11, RED#13, NEN#23, ...MANY"
"you"	"Pron"	1	18	"A1"	"were#170"	"know#147"	"think#76"	3	6	4075	984	568	2184	40	299	13	238	"TSW#212, FER#448, SPN#452, RED#571, NEN#433, ...MANY"
"did"	"Verb"	1	19	"A1"	"somethin'#8"	"some#4"	"before#3"	3	0	186	54	24	101	0	7	13	73	"TSW#7, FER#11, SPN#10, RED#11, NEN#12, ...MANY"
"do"	"Verb"	1	19	"A1"	"was#22"	"is#4"	"anything#3"	2	0	293	59	33	177	6	18	13	97	"TSW#15, FER#18, SPN#30, RED#33, NEN#30, ...MANY"
"does"	"Verb"	1	19	"A1"	"is#4"	"fear#1"	"funny#1"	4	0	18	10	2	6	0	0	8	13	"TSW#1, SPN#1, RED#4, NEN#2, FOL#3, ...MANY"
"doin'"	"Verb, Cont"	1	19	"A1"	"babe#1"	"better#1"	"lines#1"	5	0	17	7	0	8	0	2	6	9	"FER#1, SPN#2, NEN#1, REP#11, MID#1, ...MANY"
"doing"	"Verb"	1	19	"A1"	"better#6"	"cool#1"	"good#1"	5	0	14	3	1	9	0	1	5	6	"FER#3, SPN#1, FOL#3, EVE#6, MID#1"
"done"	"Verb"	1	19	"A1"	""	""	""	4	0	11	1	1	8	0	1	4	5	"SPN#1, RED#2, NEN#6, TPD#2"
"at"	"Prep"	1	20	"A1"	"once#22"	"your#21"	"home#12"	2	0	369	104	46	201	2	16	12	128	"TSW#18, FER#38, SPN#27, RED#62, NEN#35, ...MANY"
"this"	"Dete, Adve"	1	21	"A1"	"is#104"	"love#78"	"time#37"	4	0	586	114	74	362	0	36	13	151	"TSW#11, FER#73, SPN#59, RED#117, NEN#90, ...MANY"
"but"	"Conj, Prep"	1	22	"A1"	"i'm#45"	"it's#36"	"you're#25"	3	0	794	231	107	411	1	44	13	209	"TSW#33, FER#90, SPN#60, RED#96, NEN#66, ...MANY"
"his"	"Arti, Pron"	1	23	"A1"	"head#5"	"favorite#4"	"love#4"	3	0	90	50	7	28	2	3	13	36	"TSW#8, FER#5, SPN#7, RED#6, NEN#11, ...MANY"
"by"	"Prep, Adve"	1	24	"A1"	"your#6"	"mornin'#4"	"how#3"	2	0	102	33	19	46	1	3	12	63	"TSW#7, FER#9, SPN#10, RED#7, NEN#6, ...MANY"
"from"	"Prep"	1	25	"A1"	"your#7"	"here#5"	"friends#4"	4	0	188	64	28	90	0	6	12	98	"TSW#2, FER#11, SPN#18, RED#21, NEN#12, ...MANY"
"'em"	"Pron, Cont"	1	26	"A1"	"he's#4"	"cloaked#3"	"how#3"	3	0	32	10	5	17	0	0	8	17	"TSW#1, FER#4, SPN#3, RED#5, REP#3, ...MANY"
"they"	"Pron"	1	26	"A1"	"want#24"	"said#21"	"never#20"	4	0	351	122	57	159	6	7	13	114	"TSW#2, FER#12, SPN#30, RED#25, NEN#38, ...MANY"
"we"	"Pron"	1	27	"A1"	"were#103"	"could#30"	"got#29"	2	0	699	189	64	416	4	26	13	138	"TSW#17, FER#51, SPN#48, RED#127, NEN#194, ...MANY"
"say"	"Verb, Noun, Adve"	1	28	"A1"	"you'll#10"	"yes#8"	"it's#6"	3	14	321	92	49	170	0	10	13	120	"TSW#11, FER#38, SPN#36, RED#33, NEN#75, ...MANY"
"sayin'"	"Verb, Cont"	1	28	"A1"	"god#3"	"i'm#3"	"it's#2"	6	0	22	6	8	8	0	0	7	14	"TSW#1, FER#2, SPN#6, RED#2, NEN#7, ...MANY"
"says"	"Verb"	1	28	"A1"	"baby#1"	"don't#1"	"everything#1"	4	0	20	9	1	9	0	1	8	11	"TSW#3, FER#4, RED#4, NEN#3, REP#1, ...MANY"
"her"	"Arti, Pron"	2	29	"A1"	"eyes#4"	"like#4"	"fuckin'#3"	3	0	124	56	13	51	0	4	11	51	"TSW#4, FER#5, SPN#18, RED#10, NEN#6, ...MANY"
"she"	"Pron"	1	30	"A1"	"was#19"	"said#11"	"should#7"	3	0	148	67	14	60	0	7	11	39	"TSW#8, FER#7, SPN#30, RED#5, NEN#5, ...MANY"
"or"	"Conj"	1	31	"A1"	"bring#5"	"it's#5"	"stormin'#4"	2	0	88	38	11	36	0	3	12	43	"TSW#1, FER#5, SPN#15, RED#6, NEN#14, ...MANY"
"an"	"Arti"	1	32	"A1"	"angel#7"	"empire#7"	"innocent#7"	2	0	86	27	9	37	3	10	11	50	"TSW#1, FER#6, SPN#24, RED#8, REP#7, ...MANY"
"will"	"Verb, Noun"	1	33	"A1"	"never#14"	"hold#12"	"take#6"	4	0	129	25	19	63	10	12	13	51	"TSW#5, FER#9, SPN#29, RED#17, NEN#6, ...MANY"
"my"	"Arti"	1	34	"A1"	"mind#44"	"head#42"	"heart#41"	2	71	1294	378	198	603	5	110	13	214	"TSW#66, FER#70, SPN#90, RED#92, NEN#75, ...MANY"
"one"	"Numb, Pron, Noun"	2	35	"A1"	"thing#21"	"else#12"	"two#12"	3	0	379	74	46	227	8	24	13	125	"TSW#17, FER#27, SPN#33, RED#70, NEN#16, ...MANY"
"one's"	"Numb, Pron, Noun"	2	35	"A1"	"ever#2"	"celebrating#1"	"exception#1"	5	0	5	3	0	2	0	0	5	5	"SPN#1, RED#1, LVR#1, EVE#1, TPD#1"
"all"	"Dete, Adve"	1	36	"A1"	"alone#17"	"over#16"	"too#14"	3	3	769	223	101	401	0	44	13	193	"TSW#38, FER#72, SPN#83, RED#99, NEN#71, ...MANY"
"would"	"Verb"	1	37	"A1"	"stay#6"	"come#5"	"wait#5"	5	0	174	33	21	101	2	17	13	58	"TSW#22, FER#4, SPN#26, RED#10, NEN#45, ...MANY"
"there"	"Adve, Noun"	2	38	"A1"	"is#19"	"was#19"	"were#7"	5	0	219	55	27	105	0	32	12	82	"TSW#7, FER#22, SPN#12, RED#62, NEN#17, ...MANY"
"their"	"Arti"	1	39	"A1"	"heads#5"	"eyes#4"	"minds#3"	5	0	61	30	10	20	0	1	13	34	"TSW#2, FER#1, SPN#6, RED#1, NEN#6, ...MANY"
